                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82591,                0.39822,                0.78303,                 0.9277,                0.74625,                0.80348,                0.55086,                0.82654,                 0.4024,                0.79518,             0.00081688,             0.00081688,             0.00081688
                     37,                0.82009,                0.39753,                 0.7848,                0.96363,                0.68971,                0.81675,                0.56176,                0.82695,                0.40582,                0.79511,              0.0008045,              0.0008045,              0.0008045
                     38,                  0.836,                0.39726,                0.78358,                0.89604,                0.71982,                 0.7766,                0.52085,                0.85496,                0.43576,                0.79611,             0.00079213,             0.00079213,             0.00079213
                     39,                0.83562,                0.40099,                 0.7842,                0.85493,                0.76085,                0.81886,                0.55632,                0.81046,                0.39575,                0.79453,             0.00077975,             0.00077975,             0.00077975
                     40,                0.84119,                0.40509,                0.78431,                0.79835,                0.72494,                 0.7533,                0.50384,                0.86783,                0.43772,                0.79702,             0.00076738,             0.00076738,             0.00076738
                     41,                0.82671,                0.39635,                0.78319,                 0.8792,                0.71764,                0.78862,                0.53091,                0.81128,                0.40248,                 0.7943,               0.000755,               0.000755,               0.000755
                     42,                0.80617,                0.38282,                0.78493,                0.87788,                0.71893,                0.78667,                0.52194,                0.80228,                0.39295,                0.79413,             0.00074263,             0.00074263,             0.00074263
                     43,                0.82743,                0.39342,                0.78048,                0.81445,                0.69728,                0.76575,                0.53107,                0.79296,                0.40336,                0.79169,             0.00073025,             0.00073025,             0.00073025
                     44,                0.81185,                0.38617,                0.78246,                0.84199,                0.71665,                0.78632,                0.55402,                0.78125,                0.38945,                0.79444,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8156,                 0.3881,                0.78067,                0.89978,                0.71945,                0.77977,                0.54052,                0.79652,                  0.389,                0.79371,              0.0007055,              0.0007055,              0.0007055
                     46,                0.81033,                0.38026,                0.78277,                0.79265,                0.70651,                0.77101,                0.52828,                0.84987,                0.41501,                0.79582,             0.00069313,             0.00069313,             0.00069313
                     47,                0.79212,                0.37537,                0.78144,                 0.8413,                 0.7573,                0.80237,                0.56313,                0.79451,                0.38808,                0.79435,             0.00068075,             0.00068075,             0.00068075
                     48,                 0.7871,                0.37582,                0.78188,                0.88449,                0.76961,                0.82197,                0.56359,                 0.8166,                0.39504,                0.79355,             0.00066838,             0.00066838,             0.00066838
                     49,                 0.7714,                0.37225,                0.78123,                0.87252,                0.69687,                0.77318,                0.54365,                0.78152,                0.39381,                0.79291,               0.000656,               0.000656,               0.000656
                     50,                0.78537,                0.37624,                 0.7801,                 0.8228,                0.72709,                0.77623,                0.53368,                0.81699,                0.39691,                0.79341,             0.00064362,             0.00064362,             0.00064362
                     51,                0.79159,                0.37577,                0.78088,                0.87633,                0.74278,                  0.801,                0.56028,                0.80928,                0.38528,                0.79326,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77213,                0.36265,                0.78073,                0.95028,                0.74592,                0.80877,                 0.5518,                0.79996,                0.38214,                0.79266,             0.00061887,             0.00061887,             0.00061887
                     53,                0.77513,                0.36808,                0.78039,                0.88988,                0.73534,                0.79559,                0.55887,                0.82402,                0.40242,                0.79514,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77379,                0.36684,                0.77968,                 0.8479,                0.74929,                0.78965,                0.56569,                0.79321,                0.38492,                 0.7914,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75161,                0.35836,                0.77803,                0.94312,                 0.6924,                0.79024,                0.56105,                0.78699,                0.39212,                0.79299,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75551,                0.35958,                0.78071,                0.84567,                0.69808,                0.76219,                0.54593,                0.77999,                0.38592,                0.79136,             0.00056938,             0.00056938,             0.00056938
